Response,2017,2018
I_don't_own/lease_a_car,29.6,22.71
Mid_Size_(e.g_Mazda_6),14.17,22.41
Sub_Compact_(e.g_Toyota_Yaris),16.19,16.81
Compact_Sedan/Station_Wagon/Hatch_(e.g_VW_Golf),19.85,16.68
Other,3.66,3.54
Luxury/Prestige_(e.g_BWM/Mercedes),3.55,3.52
Full_size_Sedan/Stationwagon/Hatch_(e.g._Avalon),0,2.8
SUV/Cross_Over/4x4_(e.g_Honda_CR-V),1.82,2.24
MPV/Minivan_(e.g_Dodge_Caravan),1.52,1.89
Van_(e.g_Ford_E-Series),1.31,1.71
Micro/City_Car_(e.g_Smart_Fortwo),2.38,1.42
Prefer_not_to_say,2.14,1.38
Sports/Performance_Car_(e.g_Audi_TT),1.36,1.13
Hybrid/Electric/Biogas_(e.g_Toyota_Prius),0.54,0.74
Premium_(REDUNDANT),1.03,0.41
Pick_up_(e.g_Ford_F-150),0.49,0.34
RV/Motorhome_or_Camper_Van,0.39,0.26
