university,QS_score
Universidad_de_Buenos_Aires_(Argentina),67.5
Universidad_Nacional_Autónoma_de_México_(Mexico),58.8
Universidade_de_São_Paulo_(Brazil),54.8
Pontificia_Universidad_Católica_de_Chile_(Chile),53.8
Tecnológico_de_Monterrey_(Mexico),49.9
Universidad_de_Chile_(Chile),45.6
Universidad_de_los_Andes_(Colombia),39.6
Universidade_Estadual_de_Campinas_(Brazil),39.2
Universidad_Nacional_de_Colombia_(Colombia),36.9
Pontificia_Universidad_Católica_Argentina_(Argentina),31.9
Universidad_de_Palermo_(Argentina),29.0
Universidade_Federal_do_Rio_de_Janeiro_(Brazil),28.8
Universidad_Austral_(Argentina),28.2
Universidade_Federal_de_São_Paulo_(Brazil),27.1
Pontificia_Universidad_Javeriana_(Colombia),26.8
