Year_and_candidate,Democrat,Republican,Democratic-Republican,Whig,States'_Rights,American_Independent
2020:_Donald_Trump,0,8,0,0,0,0
2016:_Donald_Trump,0,8,0,0,0,0
2012:_Mitt_Romney,0,8,0,0,0,0
2008:_John_McCain,0,9,0,0,0,0
2004:_George_W._Bush,0,9,0,0,0,0
2000:_George_W._Bush,0,9,0,0,0,0
1996:_Bill_Clinton,9,0,0,0,0,0
1992:_Bill_Clinton,9,0,0,0,0,0
1988:_George_H._W._Bush,0,10,0,0,0,0
1984:_Ronald_Reagan,0,10,0,0,0,0
1980:_Ronald_Reagan,0,10,0,0,0,0
1976:_Jimmy_Carter,10,0,0,0,0,0
1972:_Richard_Nixon,0,10,0,0,0,0
1968:_George_Wallace,0,0,0,0,0,10
1964:_Barry_M._Goldwater,0,10,0,0,0,0
1960:_John_F._Kennedy,10,0,0,0,0,0
1956:_Dwight_D._Eisenhower,0,10,0,0,0,0
1952:_Adlai_Stevenson,10,0,0,0,0,0
1948:_Strom_Thurmond,0,0,0,0,10,0
1944:_Franklin_D._Roosevelt,10,0,0,0,0,0
1940:_Franklin_D._Roosevelt,10,0,0,0,0,0
1936:_Franklin_D._Roosevelt,10,0,0,0,0,0
1932:_Franklin_D._Roosevelt,10,0,0,0,0,0
1928:_Al_Smith,10,0,0,0,0,0
1924:_John_W._Davis,10,0,0,0,0,0
1920:_James_M._Cox,10,0,0,0,0,0
1916:_Woodrow_Wilson,10,0,0,0,0,0
1912:_Woodrow_Wilson,10,0,0,0,0,0
1908:_William_Jennings_Bryan,9,0,0,0,0,0
1904:_Alton_B._Parker,9,0,0,0,0,0
1900:_William_Jennings_Bryan,8,0,0,0,0,0
1896:_William_Jennings_Bryan,8,0,0,0,0,0
1892:_Grover_Cleveland,8,0,0,0,0,0
1888:_Grover_Cleveland,8,0,0,0,0,0
1884:_Grover_Cleveland,8,0,0,0,0,0
1880:_Winfield_Hancock,8,0,0,0,0,0
1876:_Rutherford_B._Hayes,0,8,0,0,0,0
1872:_Ulysses_S._Grant/,0,0,0,0,0,0
1868:_Horatio_Seymour,7,0,0,0,0,0
1864:_Seceded_from_union_,0,0,0,0,0,0
1860:_John_C._Breckenridge,6,0,0,0,0,0
1856:_James_Buchanan,6,0,0,0,0,0
1852:_Franklin_Pierce,6,0,0,0,0,0
1848:_Zachary_Taylor,0,0,0,6,0,0
1844:_James_K._Polk,6,0,0,0,0,0
1840:_William_Henry_Harrison,0,0,0,5,0,0
1836:_Martin_Van_Buren,5,0,0,0,0,0
1832:_Andrew_Jackson,5,0,0,0,0,0
1828:_Andrew_Jackson,5,0,0,0,0,0
1824:_Andrew_Jackson,0,0,5,0,0,0
1820:_James_Monroe,0,0,3,0,0,0
1816:_James_Monroe,0,0,3,0,0,0
1812:_James_Madison,0,0,3,0,0,0
