Sports_Brand_in_Australia,Brand_value_in_million_dollars
Penrith_Panthers_(NRL),46.2
Collingwood_Magpies_(AFL),39.1
Canterbury-Bankstown_Bulldogs_(NRL),34.5
West_Coast_Eagles_(NRL),32.6
Hawthorn_Hawks_(AFL),27.1
Geelong_Cats_(AFL),26.8
Carlton_Blues_(AFL),25.3
Fremantle_Dockers_(AFL),24.3
Essendon_Bombers_(AFL),24.0
Sydney_Swans_(AFL),22.7
Parramatta_Eels_(NRL),21.3
Richmond_Tigers_(AFL),21.1
Adelaide_Crows_(AFL),20.9
Brisbane_Lions_(AFL),20.4
Brisbane_Broncos_(NRL),18.6
Port_Adelaide_Power_(AFL),17.8
St_Kilda_Saints_(AFL),16.5
Canberra_Raiders_(NRL),16.0
Melbourne_Demons_(AFL),15.0
Sydney_Roosters_(NRL),14.5
