Latest_available_time_period_in_brackets,Male,Female
Finland_(2009-10),386,336
United_Kingdom_(2005),382,339
Norway_(2010),364,355
Germany_(2001-02),351,326
Denmark_(2001),340,320
Belgium_(2005),350,307
Ireland_(2005),341,290
Canada_(2010),336,294
Estonia_(2009-2010),345,278
Slovenia_(2000-01),337,283
South_Africa_(2010),334,282
New_Zealand_(2009-10),306,295
Poland_(2003-04),323,273
Netherlands_(2005-06),301,290
United_States_(2014),320,271
France_(2009),318,270
Sweden_(2010),314,272
Spain_(2009-10),310,273
Korea_(2009),314,268
Australia_(2006),297,269
Austria_(2008-09),299,262
Hungary_(1999-2000),303,255
Italy_(2008),309,248
Turkey_(2006),279,247
India_(1999),283,221
Portugal_(1999),289,200
Japan_(2011),240,244
China_(2008),248,211
Mexico_(2009),236,206
