Response,Smartphone,Tablet,Computer,Phone_call,In_real_life
Balance,67,1,28,4,0
Send/receive_money_(domestic),61,0,35,4,0
Transfer_between_accounts,59,1,37,4,0
Buy_other_insurance,3,0,63,37,0
Obtain_insurance_(home),1,0,54,43,2
Make_a_payment,47,1,44,4,5
Statements,45,0,44,5,5
Make_insurance_claim_(home),1,0,63,30,6
Claim_other_insurance,1,0,61,31,7
Line_of_credit,47,0,33,12,8
Set_up_investments,35,0,34,19,13
Send/receive_money_(international),21,0,60,5,14
Find_advisor,32,3,23,21,22
Deal_with_advisor,11,2,27,35,26
Buy/sell_stocks,44,0,28,0,29
Bank_deposit,25,0,32,5,38
House/apartment_loan,4,0,35,22,39
Car_loan,4,0,32,14,50
Bank_withdrawal,25,0,11,4,60
