Month,Exchange_rate
Oct'_20,9.79
Sep_'20,9.1
Aug_'20,8.78
Jul_'20,8.26
Jun_'20,7.68
May_'20,7.61
Apr_'20,7.6
Mar_'20,7.21
Feb_'20,6.83
Jan_'20,6.61
Dec_'19,6.68
Nov_'19,6.32
Oct_'19,6.36
Sep_'19,6.15
Aug_'19,6.46
Jul_'19,6.16
Jun_'19,6.57
May_'19,6.53
Apr_'19,6.69
Mar_'19,6.34
Feb_'19,6.07
Jan_'19,5.97
Dec_'18,6.06
Nov_'18,5.88
Oct_'18,6.23
Sep_'18,6.97
Aug_'18,7.64
Jul_'18,5.73
Jun_'18,5.34
May_'18,5.26
Apr_'18,4.89
Mar_'18,4.65
Feb_'18,4.67
Jan_'18,4.55
Dec_'17,4.55
Nov_'17,4.66
Oct_'17,4.42
Sep_'17,4.2
Aug_'17,4.11
Jul_'17,4.13
Jun_'17,4.01
May_'17,3.97
Apr_'17,3.88
Mar_'17,3.89
Feb_'17,3.84
Jan_'17,4.06
Dec_'16,3.71
Nov_'16,3.64
Oct_'16,3.4
Sep_'16,3.36
Aug_'16,3.29
Jul_'16,3.35
