Month,Number_of_new_cases
Dec_14,2194
Dec_13,4044
Dec_12,4413
Dec_11,5080
Dec_10,3134
Dec_9,4097
Dec_8,2905
Dec_7,2597
Dec_6,3834
Dec_5,6087
Dec_4,4935
Dec_3,3772
Dec_2,3384
Dec_1,2401
Nov_30,3262
Nov_29,4093
Nov_28,4868
Nov_27,5444
Nov_26,6383
Nov_25,5290
Nov_24,3919
Nov_23,4044
Nov_22,4788
Nov_21,6472
Nov_20,6489
Nov_19,6994
Nov_18,5891
Nov_17,4452
Nov_16,8371
Nov_15,6035
Nov_14,6602
Nov_13,6653
Nov_12,5839
Nov_11,4935
Nov_10,3817
Nov_9,4096
Nov_8,5784
Nov_7,6640
Nov_6,5550
Nov_5,4410
Nov_4,7497
Nov_3,2596
Nov_2,2506
Nov_1,3062
Oct_31,4007
Oct_30,4656
Oct_29,4224
Oct_28,3960
Oct_27,3299
Oct_26,2447
Oct_25,2577
Oct_24,3669
Oct_23,2899
Oct_22,3270
Oct_21,2535
Oct_20,1876
Oct_19,1949
Oct_18,1856
Oct_17,2153
Oct_16,2608
Oct_15,2101
Oct_14,2072
Oct_13,1208
Oct_12,1249
Oct_11,1090
Oct_10,1646
Oct_9,1394
Oct_8,1278
Oct_7,944
Oct_6,427
Oct_5,734
Oct_4,904
Oct_3,963
Oct_2,888
Oct_1,854
Sep_30,825
Sep_29,688
Sep_28,425
Sep_27,665
Sep_26,884
Sep_25,899
Sep_24,691
Sep_23,802
Sep_22,463
Sep_21,623
Sep_20,552
Sep_19,849
Sep_18,780
Sep_17,770
Sep_16,605
Sep_15,425
Sep_14,613
Sep_13,673
Sep_12,497
Sep_11,687
Sep_10,585
Sep_9,646
Sep_8,388
Sep_7,249
Sep_6,315
Sep_5,486
Sep_4,406
Sep_3,418
Sep_2,390
Sep_1,231
Aug_30,320
Aug_29,374
Aug_28,403
Aug_27,397
Aug_26,362
Aug_25,192
Aug_24,123
Aug_23,145
Aug_22,241
Aug_21,219
Aug_20,291
Aug_19,253
Aug_18,214
Aug_17,132
Aug_16,121
Aug_15,198
Aug_14,235
Aug_13,325
Aug_12,278
Aug_11,120
Aug_10,157
Aug_9,131
Aug_8,186
Aug_7,290
Aug_6,213
Aug_5,167
Aug_4,112
Aug_3,106
Aug_2,153
Aug_1,238
Jul_31,204
Jul_30,255
Jul_29,203
Jul_28,111
Jul_27,135
Jul_26,209
Jul_25,263
Jul_24,313
Jul_23,229
Jul_22,252
Jul_21,127
Jul_20,135
Jul_19,246
Jul_18,313
Jul_17,312
Jul_16,339
Jul_15,375
Jul_14,233
Jul_13,306
Jul_12,291
Jul_11,542
Jul_10,402
Jul_9,418
Jul_8,443
Jul_7,289
Jul_6,232
Jul_5,328
Jul_4,413
Jul_3,374
Jul_2,324
Jul_1,313
Jun_30,229
Jun_29,266
Jun_28,457
Jun_27,303
Jun_26,451
Jun_25,311
Jun_24,367
Jun_23,345
Jun_22,259
Jun_21,292
Jun_20,377
Jun_19,375
Jun_18,417
Jun_17,336
Jun_16,300
Jun_15,346
Jun_14,227
Jun_13,283
Jun_12,270
Jun_11,310
Jun_10,294
Jun_9,421
Jun_8,192
Jun_7,342
Jun_6,382
Jun_5,377
Jun_4,331
Jun_3,366
Jun_2,195
Jun_1,200
May_31,297
May_30,257
May_29,350
May_28,304
May_27,285
May_26,219
May_25,165
May_24,152
May_23,271
May_22,288
May_21,252
May_20,228
May_19,223
May_18,173
May_17,226
May_16,227
May_15,264
May_14,187
May_13,219
May_12,234
May_11,98
May_10,175
May_9,138
May_8,553
May_7,533
May_6,480
May_5,178
May_4,242
May_3,92
May_2,203
May_1,295
Apr_30,368
Apr_29,183
Apr_28,295
Apr_27,163
Apr_26,472
Apr_25,595
Apr_24,444
Apr_23,371
Apr_22,603
Apr_21,516
Apr_20,657
Apr_19,521
Apr_18,663
Apr_17,181
Apr_16,750
Apr_15,643
Apr_14,514
Apr_13,349
Apr_12,598
Apr_11,515
Apr_10,1516
Apr_9,815
Apr_8,699
Apr_7,712
Apr_6,452
Apr_5,754
Apr_4,638
Apr_3,852
Apr_2,783
Apr_1,808
Mar_31,1035
Mar_30,446
Mar_29,792
Mar_28,902
Mar_27,724
Mar_26,549
Mar_25,633
Mar_24,302
Mar_23,460
Mar_22,320
Mar_21,260
Mar_20,235
Mar_19,143
Mar_18,194
Mar_17,117
Mar_16,86
Mar_15,76
Mar_14,57
Mar_13,34
Mar_12,19
Mar_11,18
Mar_10,2
Mar_9,9
Mar_8,9
Mar_7,8
Mar_6,4
Mar_5,3
Mar_4,2
Mar_3,2
Mar_2,2
