Basketball_player,Number_of_minutes_played
Kareem_Abdul-Jabbar,57446
Karl_Malone,54852
Dirk_Nowitzki,51367
Kevin_Garnett,50412
Jason_Kidd,50116
Elvin_Hayes,50000
LeBron_James,48775
Kobe_Bryant,48643
Wilt_Chamberlain,47859
John_Stockton,47766
Reggie_Miller,47620
Tim_Duncan,47367
Gary_Payton,47117
John_Havlicek,46471
Vince_Carter,46370
Ray_Allen,46350
Paul_Pierce,45879
Robert_Parish,45704
Moses_Malone,45071
Joe_Johnson,44233
Hakeem_Olajuwon,44218
Oscar_Robertson,43886
Clifford_Robinson,42560
Buck_Williams,42470
Jason_Terry,42034
Shaquille_O'Neal,41917
Scottie_Pippen,41068
Michael_Jordan,41010
Pau_Gasol,41001
Bill_Russell,40726
