Response,Share_of_respondents
Physical_violence,55
Sexual_harassment,54
Sexual_violence,52
Domestic_abuse,21
Equal_pay,15
Workplace_discrimination,15
Sexualization_of_women_and_girls_in_the_media,14
Lack_of_women_in_leadership_roles_in_business_and_public_life,9
Gender_stereotyping,8
The_amount_of_unpaid_work_that_women_do_(e.g._cooking_cleaning_childcare),7
Access_to_employment,6
Balancing_work_and_caring_responsibilities,5
Abuse_on_social_media,5
Support_for_pregnant_women_and_new_mothers,5
Lack_of_financial/economic_independence,4
