Month,Units_sold
Dec_19,1833
Nov_19,1605
Oct_19,1582
Sep_19,4765
Aug_19,881
Jul_19,1475
Jun_19,2404
May_19,2497
Apr_19,1892
Mar_19,8325
Feb_19,955
Jan_19,1676
Dec_18,1977
Nov_18,2530
Oct_18,1963
Sep_18,5851
Aug_18,1099
Jul_18,2286
Jun_18,3613
May_18,2623
Apr_18,2166
Mar_18,8524
Feb_18,1306
Jan_18,1714
Dec_17,1645
Nov_17,1914
Oct_17,2463
Sep_17,6540
Aug_17,1283
Jul_17,1935
Jun_17,5062
May_17,4075
Apr_17,1981
Mar_17,12930
Feb_17,1426
Jan_17,3221
Dec_16,3929
Nov_16,3387
Oct_16,3397
Sep_16,11319
Aug_16,1719
Jul_16,3506
