entity
Americans_Interest_in_the_Olympics
Percent_saying_they'd_followed_each_Games
"""very""_or_""fairly""_closely"
"Albertville,_1992_63%_(winter)"
"Atlanta,_1996_75*_(summer)"
"Sydney,_2000_55"
"Salt_Lake_City,_2002_52"
Athens_2004_50
"Beijing,_2008_66"
"Vancouver,_2010_55"
"London,_2012_59"
the_Note:_The_Centennial_Olympic_Park_bombing_occurred
"the_the_survey_period_followed_Olympic_After_the_""very'_Olympics_bombing_""fairly_ended,_66%_of"
"the_Polling_people_said_they'd_period_followed_them_""very'_or_""fairly_closely."
"the_Polling_was_not_conducted_after_Lillel_""very'_hammer_(1994),"
the_(1998)_and_Torino_(2006).
PEW_RESEARCH_CENTER
