basketball_team,Fan_Cost_Index_in_U.S._dollars
New_York_Knicks,676.42
Los_Angeles_Lakers,545.08
Chicago_Bulls,477.32
Golden_State_Warriors,471.36
Miami_Heat,465.92
Los_Angeles_Clippers,437.82
Boston_Celtics,419.96
Brooklyn_Nets,404.6
Houston_Rockets,376.42
Phoenix_Suns,341.9
NBA_League_Average,339.02
Milwaukee_Bucks,325.85
San_Antonio_Spurs,325.52
Toronto_Raptors,323.69
Washington_Wizards,322.82
Portland_Trail_Blazers,319.2
Denver_Nuggets,316.02
Oklahoma_City_Thunder,296.4
Sacramento_Kings,286.56
Minnessota_Timberwolves,281.06
Dallas_Mavericks,281.02
Philadelphia_76ers,275.74
Utah_Jazz,275.74
Cleveland_Cavaliers,274.48
Orlando_Magic,263.1
Indiana_Pacers,257.4
Atlanta_Hawks,255.28
Memphis_Grizzlies,223.92
New_Orleans_Pelicans,221.8
Detroit_Pistons,215.68
Charlotte_Hornets,212.4
