Month,Number_of_deaths
Jan_3,75024
Jan_2,74570
Jan_1,74125
Dec_31,73512
Dec_30,72548
Dec_29,71567
Dec_28,71153
Dec_27,70796
Dec_26,70479
Dec_25,70249
Dec_24,69636
Dec_23,69051
Dec_22,68307
Dec_21,67616
Dec_20,67401
Dec_19,67075
Dec_18,66541
Dec_17,66052
Dec_16,65520
Dec_15,64908
Dec_14,64402
Dec_13,64170
Dec_12,64026
Dec_11,63506
Dec_10,63082
Dec_9,62566
Dec_8,62033
Dec_7,61434
Dec_6,61245
Dec_5,61014
Dec_4,60617
Dec_3,60113
Dec_2,59699
Dec_1,59051
Nov_30,58448
Nov_29,58245
Nov_28,58030
Nov_27,57551
Nov_26,57031
Nov_25,56533
Nov_24,55838
Nov_23,55230
Nov_22,55024
Nov_21,54626
Nov_20,54286
Nov_19,53775
Nov_18,53274
Nov_17,52745
Nov_16,52147
Nov_15,51934
Nov_14,51766
Nov_13,51304
Nov_12,50928
Nov_11,50365
Nov_10,49770
Nov_9,49238
Nov_8,49044
Nov_7,48888
Nov_6,48475
Nov_5,48120
Nov_4,47742
Nov_3,47250
Nov_2,46853
Nov_1,46717
Oct_31,46555
Oct_30,46229
Oct_29,45955
Oct_28,45675
Oct_27,45365
Oct_26,44998
Oct_25,44896
Oct_24,44745
Oct_23,44571
Oct_22,44347
Oct_21,44155
Oct_20,44113
Oct_19,44002
Oct_18,43646
Oct_17,43579
Oct_16,43429
Oct_15,43293
Oct_14,43155
Oct_13,43018
Oct_12,42875
Oct_11,42825
Oct_10,42760
Oct_9,42679
Oct_8,42592
Oct_7,42515
Oct_6,42445
Oct_5,42369
Oct_4,42350
Oct_3,42317
Oct_2,42268
Oct_1,42202
Sep_30,42143
Sep_29,42072
Sep_28,42001
Sep_27,41988
Sep_26,41971
Sep_25,41937
Sep_24,41902
Sep_23,41862
Sep_22,41825
Sep_21,41788
Sep_20,41777
Sep_19,41759
Sep_18,41732
Sep_17,41705
Sep_16,41684
Sep_15,41664
Sep_14,41637
Sep_13,41628
Sep_12,41623
Sep_11,41614
Sep_10,41608
Sep_9,41594
Sep_8,41586
Sep_7,41554
Sep_6,41551
Sep_5,41549
Sep_4,41537
Sep_3,41527
Sep_2,41514
Sep_1,41504
Aug_31,41501
Aug_30,41499
Aug_29,41498
Aug_28,41486
Aug_27,41477
Aug_26,41465
Aug_25,41449
Aug_24,41433
Aug_23,41429
Aug_22,41423
Aug_21,41405
Aug_20,41403
Aug_19,41397
Aug_18,41381
Aug_17,41369
Aug_16,41366
Aug_15,41361
Aug_14,41358
Aug_13,41347
Aug_12,41329
Aug_11,41309
Aug_10,41296
Aug_9,41278
Aug_8,41273
Aug_7,41270
Aug_6,41258
Aug_5,41240
Aug_4,41226
Aug_3,41208
Aug_2,41207
Aug_1,41202
Jul_31,41189
Jul_30,41169
Jul_29,41169
Jul_28,41135
Jul_27,41114
Jul_26,41111
Jul_25,41103
Jul_24,41088
Jul_23,41056
Jul_22,41047
Jul_21,41030
Jul_20,41005
Jul_19,40995
Jul_18,40984
Jul_17,40975
Jul_16,40949
Jul_15,40925
Jul_14,40899
Jul_13,40855
Jul_12,40845
Jul_11,40836
Jul_10,40819
Jul_9,40785
Jul_8,40754
Jul_7,40697
Jul_6,40643
Jul_5,40632
Jul_4,40613
Jul_3,40581
Jul_2,40532
Jul_1,40491
Jun_30,40394
Jun_29,40341
Jun_28,40320
Jun_27,40289
Jun_26,40249
Jun_25,40172
Jun_24,40073
Jun_23,39986
Jun_22,39892
Jun_21,39878
Jun_20,39847
Jun_19,39776
Jun_18,39692
Jun_17,39625
Jun_16,39515
Jun_15,39395
Jun_14,39366
Jun_13,39339
Jun_12,39232
Jun_11,39101
Jun_10,39025
Jun_9,38861
Jun_8,38666
Jun_7,38619
Jun_6,38565
Jun_5,38422
Jun_4,38164
Jun_3,38034
Jun_2,37780
Jun_1,37531
May_31,37445
May_30,37385
May_29,37231
May_28,36957
May_27,36614
May_26,36192
May_25,36061
May_24,35957
May_23,35578
May_22,35358
May_21,35067
May_20,34794
May_19,34466
May_18,33966
May_17,33820
May_16,33753
May_15,33342
May_14,32992
May_13,32640
May_12,32193
May_11,31579
May_10,31392
May_9,31175
May_8,30900
May_7,30321
May_6,29863
May_5,29216
May_4,28490
May_3,28218
May_2,27965
May_1,27381
Apr_30,26683
Apr_29,26049
Apr_28,25280
Apr_27,24311
Apr_26,23991
Apr_25,23627
Apr_24,22812
Apr_23,21802
Apr_22,21120
Apr_21,20273
Apr_20,19049
Apr_19,18479
Apr_18,18047
Apr_17,16942
Apr_16,16029
Apr_15,14993
Apr_14,14113
Apr_13,13037
Apr_12,12313
Apr_11,11656
Apr_10,10813
Apr_9,9691
Apr_8,8575
Apr_7,7545
Apr_6,6440
Apr_5,5873
Apr_4,5274
Apr_3,4518
Apr_2,3782
Apr_1,3125
Mar_31,2453
Mar_30,2050
Mar_29,1676
Mar_28,1464
Mar_27,1172
Mar_26,884
Mar_25,703
Mar_24,512
Mar_23,364
Mar_22,288
Mar_21,252
Mar_20,194
Mar_19,162
Mar_18,116
Mar_17,82
Mar_16,65
Mar_15,43
Mar_14,29
Mar_13,10
Mar_12,9
Mar_11,7
Mar_10,7
Mar_9,3
Mar_8,2
Mar_7,2
Mar_6,1
