Company_(Country_of_origin),Billion_U.S._dollars
Schwarz_Unternehmenstreuhand_KG_(Germany),121.58
Aldi_Einkauf_GmbH_&_Co._oHG_(Germany),106.18
Carrefour_S.A._(France),84.13
Tesco_PLC_(UK),82.8
Ahold_Delhaize_(Netherlands),74.08
Edeka_Group_(Germany),62.05
Auchan_Holding_SA_(France),59.3
Rewe_Group_(Germany),56.44
Centres_Distributeurs_E._Leclerc_(France)_,44.48
Casino_Guichard-Perrachon_S.A._(France),43.18
The_IKEA_Group_(INGKA_Holding_B.V.)_(Netherlands),41.47
LVMH_Moët_Hennessy-Louis_Vuitton_S.A._(France),37.85
J_Sainsbury_plc_(UK),37.52
ITM_Developpement_International_(Intermarche;_France)_,36.63
Inditex_S.A._(Spain),30.67
Metro_AG_(Germany),28.72
Mercadona_SA_(Spain),26.26
Ceconomy_AG_(Germany),25.48
Migros-Genossenschafts_Bund_(Switzerland)_,25.13
X5_Retail_Group_N.V.,24.39
