Response,Share_of_respondents
Salary/benefits/financial_incentives,84
Work-life_balance,64
Opportunity_for_advancement,62
Training/development_programs,58
Opportunity_to_work_with_knowledgeable_colleagues,46
Communication/feedback_received_during_application,42
Flexible_work_arrangements,42
Corporate_culture,34
Corporate_reputation,34
Environmentally_friendly/responsible_work_practices,34
Corporate_values_that_match_your_own,34
Exposure_to_technologies_and_equipment,29
Derive_more_sense_of_meaning_from_work,28
Diversity/equal_opportunities_record,28
Global/international_opportunities,24
Non-traditional_perks/benefits,24
Corporate_sovereignty/goodwill,17
