Operator,Number_of_offshore_rigs
Pemex_(NOC),45
Saudi_Aramco_(NOC),44
ONGC_(NOC),41
Petrobras_(NOC),35
Statoil,34
BP,33
Shell,30
CNOOC_(NOC),24
ADNOC_Offshore_(NOC),20
Chevron,17
ExxonMobil,15
Total,15
PDVSA_(NOC),14
Petronas_Carigali_(NOC),12
ConocoPhillips,12
Chernomorneftegaz,12
Eni,11
Socar_(NOC),10
Talisman,8
Pars_Oil_&_Gas_(NOC),8
VietSovPetro,7
Anadarko,6
IOOC_(NOC),6
Petrobel_(NOC),6
Maersk_Oil,5
Lundin_Petroleum,5
Marathon,4
Qatar_Petroleum_(NOC),4
Sinopec,4
Wintershall,4
Hess_Corp.,4
Gazflot_(NOC),3
Dragon_Oil,3
Apache,3
CNR_International,3
PTTEP_(NOC),3
Dubai_Petroleum_(NOC),3
ADNOC_Offshore_(NOC)/_ADNOC_Drilling,3
Woodside_Petroleum,3
ENGIE_E&P,2
EnVen_Energy,2
Hibernia_Mgmt_&_Dev._CO.,2
Pertamina_Hulu_Energi_ONWJ,2
Repsol,2
GPC,2
IOEC,2
Arena,2
Gupco_(NOC),2
Sakhalin_Energy_Invest._Co.,2
AIOC,2
ADOC_(NOC),2
RasGas,2
Freeport-McMoRan,2
EnQuest_PLC,2
Mubadala_Petroleum,2
Shanghai_Petroleum_Co.,2
W&T_Offshore,2
Sakhalin_Energy,2
ShengLi_Offshore,2
TAQA_Bratani,2
Petropars,1
Pan_American_Energy,1
Fairfield_Energy,1
Operator_Undisclosed,1
Furie_Operating_Alaska_LLC,1
Premier_Oil,1
Wapiti_Operating,1
KazMunayGas,1
Cabinda_Gulf,1
Kosmos_Energy,1
LLOG_Exploration,1
OMV,1
North_Oil_Co,1
EOG_Resources,1
Bundug_Oil,1
KrisEnergy,1
Mellitah_Oil_&_Gas,1
Mossgas,1
Black_Sea_Oil_&_Gas,1
NAM,1
Nexen,1
Niko_Resources,1
NIOC_(NOC),1
EnergyQuest,1
Norsk_Hydro,1
Energean_Oil_&_Gas_SA,1
Occidental,1
Enap,1
OMV_Petrom,1
Suncor_Energy,1
Oranje_Nassau_Energie,1
Hilcorp_Energy,1
Aera_Energy,1
Petronas_(NOC),1
Petrobaltic,1
Ineos,1
Shengli_Petroleum_Engr_Company,1
GoMex_Energy_Offshore,1
Emirates_National_Oil_Co_(ENOC),1
Fanpetco,1
Statoil_(pre-merger),1
Stone_Energy,1
Amapetco,1
Erin_Energy,1
Bahrain_Petroleum_Co_(Bapco)/_Schumberger_D&C,1
Energy_XXI,1
Shatskmorneftegaz,1
Sapura_Energy_Berhad,1
Cox_Operating,1
Abu_Qir_Petroleum,1
Saka_Energi,1
AKER_BP,1
Deep_Gulf_Energy,1
Elcrest,1
Pertamina_Hulu_Energi_WMO,1
Renaissance_Offshore,1
Perenco,1
Petrozenima,1
CPOC,1
Cairn_Energy,1
CNPC_(NOC),1
Conoil,1
Walter_O&G,1
Byron_Energy,1
CNOOC_(NOC)/SK_Innovation,1
Centrica,1
JAMSTEC,1
Caspian_Oil,1
KNOC_(NOC),1
Spirit_Energy,1
National_Drilling,1
Topic_SA,1
BHP_Biliton,1
BW_Energy,1
Inpex,1
IPC,1
Husky_Oil,1
Whintney_O&G,1
