Month,Price_in_GBP_per_kilogram
Nov_'19,0.8
Oct_'19,0.76
Sep_'19,0.95
Aug_'19,1.13
Jun_'19,0.88
May_'19,0.66
Apr_'19,0.75
Mar_'19,0.7
Feb_'19,0.67
Jan_'19,0.55
Dec_'18,0.54
Nov_'18,0.64
Oct_'18,0.64
Sep_'18,0.78
Aug_'18,1.0
May_'18,0.94
Apr_'18,0.89
Mar_'18,0.73
Feb_'18,0.72
Jan_'18,0.65
Dec_'17,0.65
Nov_'17,0.69
Oct_'17,0.68
Sep_'17,0.8
Aug_'17,1.12
May_'17,0.67
Apr_'17,0.75
Mar_'17,0.8
Feb_'17,0.55
Jan_'17,0.53
Dec_'16,0.57
Nov_'16,0.6
Oct_'16,0.62
Sep_'16,0.67
Aug_'16,1.43
May_'16,0.5
Apr_'16,0.55
Mar_'16,0.55
Feb_'16,0.52
Jan_'16,0.5
Dec_'15,0.48
Nov_'15,0.53
Oct_'15,0.56
Sep_'15,0.68
Aug_'15,0.82
Jul_'15,0.51
Jun_'15,0.58
May_'15,0.54
Apr_'15,0.45
Mar_'15,0.44
Feb_'15,0.48
Jan_'15,0.48
