U.S._states,Number_of_homicide_victims
Texas,238
California,192
Pennsylvania,93
Georgia,74
Missouri,73
Virginia,72
Illinois,70
Michigan,70
Tennessee,70
New_York,69
Ohio,67
North_Carolina,55
Louisiana,54
Arizona,52
Indiana,47
Oklahoma,46
South_Carolina,44
Washington,40
New_Jersey,39
Maryland,39
Colorado,38
Kentucky,37
Arkansas,34
Nevada,33
Oregon,27
Wisconsin,26
New_Mexico,24
Kansas,24
Mississippi,24
Minnesota,22
Connecticut,19
Massachusetts,18
Utah,14
Alaska,12
Idaho,11
Montana,9
Maine,9
Nebraska,9
North_Dakoda,8
West_Virginia,8
Delaware,7
Hawaii,6
Iowa,6
New_Hampshire,6
Vermont,4
Rhode_Island,3
South_Dakota,2
Wyoming,2
Florida,0
Alabama,0
