Response,Share_of_respondents
I_want_to_hear_my_favorite_songs/artists,64.1
I_like_particular_DJs_shows_or_hosts,57.8
I_like_to_work_with_the_radio_on,54.9
I'm_just_in_the_habit_of_listening,50.5
I_want_to_be_informed_about_what's_going_on_in_the_news,41
I_want_to_get_in_a_better_mood,39.9
I_want_to_know_what's_going_on_here_in_town,36.3
I_want_to_be_informed_if_there's_an_emergency_of_some_kind,33.1
I_want_to_escape_from_the_pressures_of_everyday_life,32.9
I_want_to_discover_new_music/new_artists,32.8
I_enjoy_listening_to_talk_shows,32.2
Weather_information,28.5
I_like_being_surprised_by_the_music_that's_coming_up_next,28
Traffic_information,24.6
I_like_it_when_stations_get_involved_with_charitable_and_community_events,19.5
I'm_interested_in_sports_programming,17.8
I_want_to_win_a_prize,13
