Month,Number_of_new_cases
Jan_8_2021,2907
Jan_7_2021,3068
Jan_6_2021,2047
Jan_5_2021,870
Jan_4_2021,856
Jan_3_2021,1307
Jan_2_2021,1410
Jan_1_2021,2764
Dec_31_2020,2971
Dec_30_2020,1972
Dec_29_2020,902
Dec_28_2020,609
Dec_27_2020,698
Dec_26_2020,1198
Dec_25_2020,2610
Dec_24_2020,3292
Dec_23_2020,1894
Dec_22_2020,1238
Dec_21_2020,2141
Dec_20_2020,2967
Dec_19_2020,4045
Dec_18_2020,4428
Dec_17_2020,2982
Dec_16_2020,2804
Dec_15_2020,1893
Dec_14_2020,3470
Dec_13_2020,4153
Dec_12_2020,5047
Dec_11_2020,6197
Dec_10_2020,5415
Dec_9_2020,3221
Dec_8_2020,2219
Dec_7_2020,3870
Dec_6_2020,6697
Dec_5_2020,5525
Dec_4_2020,6212
Dec_3_2020,6635
Dec_2_2020,4136
Dec_1_2020,3951
Nov_30_2020,5595
Nov_29_2020,6819
Nov_28_2020,6268
Nov_27_2020,6393
Nov_26_2020,6360
Nov_25_2020,3806
Nov_24_2020,3929
Nov_23_2020,3334
Nov_22_2020,4320
Nov_21_2020,4397
Nov_20_2020,4440
Nov_19_2020,4512
Nov_18_2020,4290
Nov_17_2020,5203
Nov_16_2020,6495
Nov_15_2020,4238
Nov_14_2020,4836
Nov_13_2020,5097
Nov_12_2020,3927
Nov_11_2020,3945
Nov_10_2020,4140
Nov_9_2020,5162
Nov_8_2020,4673
Nov_7_2020,5318
Nov_6_2020,4709
Nov_5_2020,3928
Nov_4_2020,4219
Nov_3_2020,3989
Nov_2_2020,3581
Nov_1_2020,3878
Oct_31_2020,3908
Oct_30_2020,3286
Oct_29_2020,2194
Oct_28_2020,2291
Oct_27_2020,2079
Oct_26_2020,2316
Oct_25_2020,3149
Oct_24_2020,1820
Oct_23_2020,2066
Oct_22_2020,2032
Oct_21_2020,1423
Oct_20_2020,989
Oct_19_2020,1478
Oct_18_2020,1474
Oct_17_2020,1791
Oct_16_2020,1293
Oct_15_2020,950
Oct_14_2020,920
Oct_13_2020,1025
Oct_12_2020,1173
Oct_11_2020,1068
Oct_10_2020,1374
Oct_9_2020,1176
Oct_8_2020,932
Oct_7_2020,816
Oct_6_2020,818
Oct_5_2020,905
Oct_4_2020,858
Oct_3_2020,1086
Oct_2_2020,1322
Oct_1_2020,848
Sep_30_2020,894
Sep_29_2020,851
Sep_28_2020,702
Sep_27_2020,937
Sep_26_2020,950
Sep_25_2020,927
Sep_24_2020,750
Sep_23_2020,951
Sep_22_2020,633
Sep_21_2020,876
Sep_20_2020,1070
Sep_19_2020,809
Sep_18_2020,941
Sep_17_2020,710
Sep_16_2020,581
Sep_15_2020,726
Sep_14_2020,844
Sep_13_2020,484
Sep_12_2020,916
