baseball_team,Total_payroll_in_million_U.S._dollars
New_York_Yankees,254.19
Los_Angeles_Dodgers,227.83
Houston_Astros,215.39
Boston_Red_Sox,191.05
Chicago_Cubs,190.38
Philadelphia_Phillies,183.7
Los_Angeles_Angels,179.59
St._Louis_Cardinals,169.34
New_York_Mets,168.68
Washington_Nationals,168.64
San_Francisco_Giants,163.2
Atlanta_Braves,159.33
Colorado_Rockies,157.28
Texas_Rangers,153.59
San_Diego_Padres,153.12
Cincinnati_Reds,143.14
Minnesota_Twins,138.6
Chicago_White_Sox,130.25
Arizona_Diamondbacks,120.21
Toronto_Blue_Jays,110.76
Detroit_Tigers,105.53
Seattle_Mariners,102.71
Milwaukee_Brewers,100.66
Oakland_Athletics,95.46
Cleveland_Indians,91.76
Kansas_City_Royals,86.58
Tampa_Bay_Rays,72.1
Pittsburgh_Pirates,63.31
Baltimore_Orioles,59.99
Miami_Marlins,58.99
