Response,Share_of_voice
Amazon_(amazon.com),10.1
Macy’s_(macys.com),7.26
Wikipedia_(wikipedia.org),3.25
H&M_(hm.com),3
Third_Love_(thirdlove.com),2.98
Target_(target.com),2.12
Kohl’s_(kohls.com),1.93
Pinterest_(pinterest.com),1.88
Asos_(asos.com),1.79
Nordstrom_rack_(nordstromrack.com),1.75
Soma_(soma.com),1.21
Good_Housekeeping_(goodhousekeeping.com,1.19
Victoria’s_Secret_(victoriassecret.com),1.12
American_Eagle_Outfitters_(ae.com),1.06
Pacsun_(pacsun.com),1.04
Lulus_(lulus.com),0.88
AliExpress_(aliexpress.com),0.82
Dick’s_Sporting_Goods_(dickssportinggoods.com),0.77
Bloomingdale’s_(bloomingdales.com),0.77
Urban_Outfitters_(urbanoutfitters.com),0.74
