Year,Homicides,Homicides_(during_Prohibition),Suicides,Suicides_(during_Prohibition)
1950,5.3,0,11.4,0
1949,5.4,0,11.4,0
1948,5.9,0,11.2,0
1947,6.1,0,11.5,0
1946,6.4,0,11.5,0
1945,5.7,0,11.2,0
1944,5,0,10,0
1943,5.1,0,10.2,0
1942,5.9,0,12,0
1941,6,0,12.8,0
1940,6.3,0,14.4,0
1939,6.4,0,14.1,0
1938,6.8,0,15.3,0
1937,7.6,0,15,0
1936,8,0,14.3,0
1935,8.3,0,14.3,0
1934,9.5,0,14.9,0
1933,0,9.7,0,15.9
1932,0,9,0,17.4
1931,0,9.2,0,16.8
1930,0,8.8,0,15.6
1929,0,8.4,0,13.9
1928,0,8.6,0,13.5
1927,0,8.4,0,13.2
1926,0,8.4,0,12.6
1925,0,8.3,0,12
1924,0,8.1,0,11.9
1923,0,7.8,0,11.5
1922,0,8,0,11.7
1921,0,8.1,0,12.4
1920,0,6.8,0,10.2
1919,7.2,0,11.5,0
1918,6.5,0,12.3,0
1917,6.9,0,13,0
1916,6.9,0,13.7,0
1915,5.9,0,16.2,0
1914,6.2,0,16.1,0
1913,6.1,0,15.4,0
1912,5.4,0,15.6,0
1911,5.5,0,16,0
1910,4.6,0,15.3,0
1909,4.2,0,16,0
1908,4.8,0,16.8,0
1907,4.9,0,14.5,0
1906,3.9,0,12.8,0
1905,2.1,0,13.5,0
1904,1.3,0,12.2,0
1903,1.1,0,11.3,0
1902,1.2,0,10.3,0
1901,1.2,0,10.4,0
1900,1.2,0,10.2,0
