manager,Yearly_earnings_in_million_euros
Joachim_Löw_(Germany),3.85
Tite_(Brazil),3.5
Didier_Deschamps_(France),3.5
Julen_Lopetegui_(Spain,3.0
Stanislav_Cherchesov_(Russia),2.6
Fernando_Santos_(Portugal),2.25
Carlos_Queiroz_(Iran),2.0
Gareth_Southgate_(England),2.0
Jorge_Sampaoli_(Argentina),1.8
Óscar_Tabárez_(Uruguay),1.7
Héctor_Cúper_(Egypt),1.5
José_Pékerman_(Colombia),1.5
Juan_Antonio_Pizzi_(Saudi_Arabia),1.44
Bert_van_Marwijk_(Australia),1.25
Ricardo_Gareca_(Peru),1.15
Juan_Carlos_Osorio_(Mexico),1.05
Åge_Hareide_(Denmark),1.0
Vahid_Halilhodžić_(Japan),1.0
Roberto_Martinez_(Belgium),1.0
Vladimir_Petković_(Switzerland),0.85
Hervé_Renard_(Morocco),0.78
Heimir_Hallgrímsson_(Iceland),0.7
Zlatko_Dalić_(Croatia),0.55
Gernot_Rohr_(Nigeria),0.5
Janne_Andersson_(Sweden),0.45
Shin_Tae-yong_(South_Korea),0.45
Hernán_Darío_Gómez_(Panama),0.4
Óscar_Ramírez_(Costa_Rica),0.35
Nabil_Maâloul_(Tunisia),0.35
Mladen_Krstajić_(Serbia),0.3
Adam_Nawałka_(Poland),0.27
Aliou_Cissé_(Senegal),0.2
