Response,Share_of_respondents
Provide_sanitizers,30
School_closures,22
Share_information,19
Remote_work,18
Increase_hygiene,16
Prevention_guidelines_(hugs_greetings),14
Use_of_protection_material,9
Meeting_cancelation/ban,8
Changes_in_action_protocols_(fingerprint_registration),5
Increase_distance_between_peers,5
Company_closure,4
Business_trip_cancelations,4
Visiting_restrictions,3
Flexible_schedule,2
Prevention/protocol_for_people_with_symptoms,2
Move_holidays_forward,2
Minimize_services_and_staff,2
Service_cancelation,1
Temperature_control,1
None,1
