Month,Inflation_rate
;Jul_'2ß,5.5
Jun_'2ß,7.2
May_'20,6.4
Apr_'20,6.6
Mar_'20,6.7
Feb_'20,6.9
Jan_'20,8
Dec_'19,7
Nov_'19,6
Oct_'19,4.7
Sep_'19,4.2
Aug_'19,5.2
Jul_'19,4.8
Jun_'19,4.6
May_'19,5.8
Apr_'19,5.8
Mar_'19,5.6
Feb_'19,5
Jan_'19,3.6
Dec_'18,2.6
Nov_'18,2.5
Oct_'18,3.3
Sep_'18,3.2
Aug_'18,2.9
Jul_'18,2.8
Jun_'18,2.7
May_'18,2.1
Apr_'18,1.2
Mar_'18,1.2
Feb_'18,1
Jan_'18,1
Dec_'17,3.8
Nov_'17,4.9
Oct_'17,4.2
Sep_'17,3.9
Aug_'17,2.7
Jul_'17,2.5
Jun_'17,4.4
May_'17,4.2
Apr_'17,5.1
Mar_'17,4.1
Feb_'17,3.7
Jan_'17,3.8
Dec_'16,1.3
Nov_'16,-0.2
Oct_'16,-0.3
Sep_'16,-0.3
Aug_'16,1.2
Jul_'16,2
Jun_'16,-0.6
May_'16,-1.8
Apr_'16,-2.8
Mar_'16,-1.4
Feb_'16,1
Jan_'16,0.5
Dec_'15,0.5
Nov_'15,0.3
Oct_'15,0.1
Sep_'15,0.8
Aug_'15,0.1
Jul_'15,-0.9
Jun_'15,0.47
May_'15,0.9
