art_museum,Attendance_in_thousands
Louvre_Paris,9600
Vatican_Museums_Vatican,6883
British_Museum_London,6208
Tate_Modern_London,6098
National_Gallery_London,6011
Natural_History_Museum_London,5424
State_Hermitage_St_Petersburg,4957
Reina_Sofia_Madrid,4426
Victoria_and_Albert_Museum_London,3921
Musée_D'Orsay_Paris,3652
Centre_Pompidou_Paris,3270
Science_Museum_(South_Kensington)_London,3254
Museo_Nacional_Del_Prado_Madrid,3203
State_Tretyakov_Gallery_Moscow,2836
Rijksmuseum_Amsterdam,2700
Cité_des_Sciences_et_de_l'Industrie_Paris,2370
Galleria_Degli_Uffizi_Florence,2362
Auschwitz-Birkenau_Museum_Oświęcim,2300
National_Museum_of_Scotland_Edinburgh,2210
Van_Gogh_Museum_Amsterdam,2100
