Title,Units_sold
Astérix_38_:_La_fille_de_VercingétorixJean-Yves_Ferri_Didier_Conrad,1573700
La_jeune_fille_et_la_nuitGuillaume_Musso,565200
La_vie_secrète_des_écrivainsGuillaume_Musso,391000
SérotonineMichel_Houellebecq,384700
Tous_les_hommes_n'habitent_pas_le_monde_de_la_même_façonJean-Paul_Dubois,367600
Changer_l'eau_des_fleursValérie_Perrin,363200
La_panthère_des_neigesSylvain_Tesson,351900
La_tresseLaetitia_Colombani,293400
Il_est_grand_temps_de_rallumer_les_étoilesVirginie_Grimaldi,279300
Ta_deuxième_vie_commence_quand_tu_comprends_que..._Raphaëlle_Giordano,270200
