Pharmaceutical_company,Indicator_score_from_1_(lowest)_to_5_(highest)
Sanofi,5.0
GlaxoSmithKline_plc,4.54
Novo_Nordisk_A/S,4.54
Novartis_AG,4.43
Eisai_Co._Ltd.,4.04
Merck_KGaA,3.91
Pfizer_Inc.,3.62
Merck_&_Co._Inc.,3.58
Bayer_AG,3.33
Johnson_&_Johnson,3.1
Bristol-Myers_Squibb_Co.,3.05
AstraZeneca_plc,2.87
Gilead_Sciences_Inc.,2.87
Roche_Holding_Ltd.,2.87
Eli_Lilly_&_Co.,2.83
AbbVie_Inc.,2.6
Takeda_Pharamceutical_Co.,2.43
Boehringer-Ingelheim_GmbH,2.02
Astellas_Pharma_Inc.,1.27
Daiichi_Sankyo_Co._Ltd.,1.21
