Company_(Country_of_headquarters),Multilatinas_index_score
Mexichem_(Mexico),95.64
Cemex_(Mexico),95.47
Grupo_Bimbo_(Mexico),86.7
Grupo_Alfa_(Mexico),86.28
América_Móvil_(Mexico),84.46
Vale_(Brazil),84.44
LATAM_(Chile/Brazil),82.96
Aje_Group_(Peru),78.63
JBS_(Brazil),78.35
Arcos_Dorados_(Argentina),78.09
Tenaris_(Argentina),77.65
Gruma_(Mexico),75.66
Nemak_(Mexico),73.81
Copa_Airlines_(Panama),71.9
Sigma_(Mexico),71.56
Ternium_(Argentina),71.09
Globant_(Argentina),69.66
Ambev_(Brazil),69.37
Gerdau_(Brazil),69.17
Empresas_Copec_(Chile),69.16
