State,Additional_tax_burden_per_filer_in_U.S._dollars
Delaware,15843$
Nebraska,11351$
Minnesota,10770$
Rhode_Island,9838$
Arkansas,8202$
New_Jersey,7298$
Connecticut,6933$
District_of_Columbia,5591$
Missouri,5024$
Illinois,4570$
Virginia,4294$
Massachusetts,4031$
New_York,3622$
Wisconsin,3595$
Pennsylvania,3547$
California,3547$
Colorado,3165$
Texas,3104$
Oklahoma,3075$
Georgia,2928$
Ohio,2898$
Tennessee,2806$
North_Carolina,2616$
Indiana,2421$
Arizona,2213$
Kansas,2118$
Washington,2116$
North_Dakota,1899$
Kentucky,1768$
Iowa,1721$
Maryland,1599$
Michigan,1509$
Utah,1496$
Oregon,1432$
Vermont,1223$
Florida,1052$
Louisiana,1039$
South_Carolina,1035$
South_Dakota,1026$
Alabama,1014$
West_Virginia,818$
Hawaii,811$
Nevada,740$
Mississippi,727$
Alaska,711$
Wyoming,605$
Idaho,580$
Maine,558$
New_Hampshire,487$
Montana,419$
New_Mexico,390$
