Response,Share_of_respondents
Photos/videos/music/e-books,72
Personal_e-mail_messages,62
Address_book/phone_contacts,56
Files_for_personal_use,51
SMS_or_MMS,39
Files_for_work_use,37
Work_e-mails_messages,34
Passwords_for_personal_e-mail_accounts,34
Passwords_for_personal_online_accounts,33
Sensitive_info_I_would_not_want_others_to_see,25
Banking_details,23
Other_payment_credentials,20
Passwords_for_your_work_e-mail_account,19
Passwords_for_work_VPN/intranet_access,12
Any_financial_data,28
Any_passwords_or_account_details/logins,48
Any_private/personal_information,88
