Response,Share_of_respondents
Sexual_harassment,40
Sexual_violence,37
Physical_violence,32
Domestic_abuse,19
Equal_pay,19
Workplace_discrimination,18
Gender_stereotyping,16
Sexualization_of_women_and_girls_in_the_media,15
Access_to_employment,9
Balancing_work_and_caring_responsibilities,8
Lack_of_women_in_leadership_roles_in_business_and_public_life,7
Abuse_on_social_media,7
Support_for_pregnant_women_and_new_mothers,6
The_amount_of_unpaid_work_that_women_do_(e.g._cooking_cleaning_childcare),6
Lack_of_financial/economic_independence,5
