State,Tuition_and_fees_in_U.S._dollars
District_of_Columbia,42004
Massachusetts,35106
Rhode_Island,31253
Connecticut,29567
Vermont,28324
New_Hampshire,27613
Pennsylvania,27213
New_York,26276
Illinois,25918
Maine,23279
Minnesota,21837
New_Jersey,21772
Oregon,19609
Maryland,19368
Iowa,18940
Virginia,17468
Ohio,17350
Tennessee,16963
Indiana,16720
Missouri,16614
North_Carolina,16168
South_Carolina,16130
California,15864
Michigan,15466
Kentucky,14952
Wisconsin,14661
Nebraska,14659
Louisiana,14299
Texas,13753
Colorado,13728
Washington,13459
Kansas,12697
South_Dakota,12290
Arizona,12074
Oklahoma,11923
Alabama,11915
Georgia,11802
Hawaii,11612
Delaware,11478
Arkansas,10978
West_Virginia,10448
Florida,10212
Mississippi,9367
Montana,9058
North_Dakota,8691
Utah,7857
New_Mexico,7348
Idaho,7204
Alaska,6763
Nevada,6594
Wyoming,5217
