Year,Viewership_in_millions
Super_Bowl_XLIV_(American_football)_,121
UEFA_Champions_league_final_(football),109
Bahrain_Grand_Prix_(Formula_1),54
100-meter_final_Eder_men_(athletics),33
Men's_final_wimbledon_(tennis),29
Japan-South_Korea_baseball_finals_(baseball),27
NBA_Finals_LA_Lakers-Orlando_Magic_(Basketball),26
Final_day_U.S._Masters_(Golf),21
Sudirman_finals_South_Korea-China_(badminton),19
Motor_GP_World_Cup_(motorcycle_racing),19
Tour_de_France_20_Leg_(cycling),18
Canada-Russia_World_Cup_finals_(hockey),17
World_Cup_final_France-Croatia_(handball),17
NASCAR_Daytona_500_(Motor_Sports),16
World_Cup_Final_Pakistan-Sri_Lanka_(Cricket),13
