Year_and_candidate,Democrat,Republican,Progressive_Party
2020:_Joe_Biden,10,0,0
2016:_Donald_Trump,0,10,0
2012:_Barack_Obama,10,0,0
2008:_Barack_Obama,10,0,0
2004:_John_Kerry,10,0,0
2000:_Al_Gore,11,0,0
1996:_Bill_Clinton,11,0,0
1992:_Bill_Clinton,11,0,0
1988:_Michael_Dukakis,11,0,0
1984:_Ronald_Reagan,0,11,0
1980:_Ronald_Reagan,0,11,0
1976:_Jimmy_Carter,11,0,0
1972:_Richard_Nixon,0,11,0
1968:_Richard_Nixon,0,12,0
1964:_Lyndon_B._Johnson,12,0,0
1960:_Richard_Nixon,0,12,0
1956:_Dwight_D._Eisenhower,0,12,0
1952:_Dwight_D._Eisenhower,0,12,0
1948:_Harry_S._Truman,12,0,0
1944:_Thomas_E._Dewey,0,12,0
1940:_Franklin_D._Roosevelt,12,0,0
1936:_Franklin_D._Roosevelt,12,0,0
1932:_Franklin_D._Roosevelt,12,0,0
1928:_Herbert_Hoover,0,13,0
1924:_Robert_La_Follette,0,0,13
1920:_Warren_G._Harding,0,13,0
1916:_Charles_Evans_Hughes,0,13,0
1912:_Woodrow_Wilson,13,0,0
1908:_William_Howard_Taft,0,13,0
1904:_Theodore_Roosevelt,0,13,0
1900:_William_McKinley,0,12,0
1896:_William_McKinley,0,12,0
1892:_Grover_Cleveland,12,0,0
1888:_Benjamin_Harrison,0,11,0
1884:_James_G._Blaine,0,11,0
1880:_James_A._Garfield,0,10,0
1876:_Rutherford_B._Hayes,0,10,0
1872:_Ulysses_S._Grant,0,10,0
1868:_Ulysses_S._Grant,0,8,0
1864:_Abraham_Lincoln,0,8,0
1860:_Abraham_Lincoln,0,5,0
1856:_John_C._Frémont,0,5,0
1852:_Franklin_Pierce,5,0,0
1848:_Lewis_Cass,4,0,0
