Month,Number_of_viewers_in_thousands
November_2020,16.79
October_2020,17.01
September_2020,18.03
August_2020,17.24
July_2020,23.34
June_2020,21.33
May_2020,19.94
April_2020,19.04
March_2020,20.96
February_2020,22.02
January_2020,19.48
December_2019,18.92
November_2019,22.31
October_2019,14.66
September_2019,30.37
August_2019,47.15
July_2019,39.32
June_2019,42.7
May_2019,33.21
April_2019,39.71
March_2019,35.71
February_2019,35.18
January_2019,30.27
December_2018,22.71
November_2018,31.01
October_2018,21.76
September_2018,28.59
August_2018,31.05
July_2018,34.24
June_2018,32.12
May_2018,42.46
April_2018,44.51
March_2018,43.08
February_2018,39.82
January_2018,43.83
