Response,Share_of_respondents
Role-playing_games_(RPG/_MORPG/MMORPG),29
Casual_games_(e.g._Bejewelled_Tetris_Plants_vs_Zombies_etc),29
Real-time_strategy_(e.g._Starcast_Age_of_Empires_League_of_Legends),24
Shooter_(First_person_shooter_stealth_shooter_third-person_shooter),23
Action/adventure_games,19
Sports_(e.g._FIFA_Champions_Manager_etc),13
Simulation_(e.g._SimCity),13
Fighting_games/_combat_(e.g._Super_Smash_Bros_Ultimate),11
Casino_and_card_games_(e.g._Poker_Solitaire_Blackjack),11
Racing_games_(e.g._Super_Mario_Kart),10
Battle_royale_games_(e.g._Fortnite_Battle_Royale_Apex_Legends_etc),9
Education/_edutainment,7
Music/Dance/Rhythm_games,6
Augmented_reality_games_(e.g._Pokemon_Go),5
Social_(e.g_Second_life),4
Others,4
