rare_earth_oxides,2009,2010,2011,2012,2013
Lanthanum_oxide_(US$/metric_ton),4604,23820,98757,25547,7866
Cerium_oxide_(US$/metric_ton),3437,23102,98217,24684,7863
Praseodymium_oxide_(US$/metric_ton),14381,49338,204067,116162,91385
Neodymium_oxide_(US$/metric_ton),15208,50635,250574,122364,71833
Samarium_oxide_(US$/metric_ton),3429,16000,104816,58032,13296
Europium_oxide_(US$/kilogram),478,553,2923,2596,1095
Gadolinium_oxide_(US$/metric_ton),0,10707,62724,24167,24033
Terbium_oxide_(US$/kilogram),360,557,2344,2026,920
Dysprosium_oxide_(US$/kilogram),109,235,1508,1190,555
Holmium_oxide_(US$/kilogram),0,41,303,107,66
Erbium_oxide_(US$/kilogram),0,90,236,150,68
Ytterbium_oxide_(US$/kilogram),0,27,91,113,53
Lutetium_oxide_(US$/kilogram),0,274,827,1385,1201
Yttrium_oxide_(US$/kilogram),0,60,143,111,26
