Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,11.53
Educational_services_health_care_and_social_assistance,8.03
Government_and_government_enterprises,7.69
Professional_and_business_services,6.83
Manufacturing,5.76
Retail_trade,5.14
Wholesale_trade,3.19
Arts_entertainment_recreation_accommodation_and_food_services,3.08
Construction,1.86
Information,1.41
Transportation_and_warehousing,1.21
Agriculture_forestry_fishing_and_hunting,0.98
Utilities,0.95
Mining_quarrying_and_oil_and_gas_extraction,0.03
