basketball_team,Facebook_fans_in_millions
NBA,38.54
Los_Angeles_Lakers,21.9
Chicago_Bulls,17.42
Miami_Heat,14.96
Houston_Rockets,14.84
Golden_State_Warriors,11.6
Boston_Celtics,8.88
Cleveland_Cavaliers,8.37
Sacramento_Kings,7.83
San_Antonio_Spurs,6.93
Oklahoma_City_Thunder,6.91
New_York_Knicks,5.72
Washington_Wizards,4.77
Dallas_Mavericks,4.35
Los_Angeles_Clippers,3.78
Indiana_Pacers,3.18
Brooklyn_Nets,2.72
Orlando_Magic,2.7
Toronto_Raptors,2.65
Portland_Trailblazers,2.43
Detroit_Pistons,2.04
Denver_Nuggets,1.99
Milwaukee_Bucks,1.91
Phoenix_Suns,1.86
Minnesota_Timberwolves,1.85
Utah_Jazz,1.81
Memphis_Grizzlies,1.79
New_Orleans_Pelicans,1.76
Philadelphia_76ers,1.75
Charlotte_Hornets,1.71
Atlanta_Hawks,1.59
