State,Transfers_to_beneficiaries_in_million_U.S._dollars
New_York,3474.04
Florida,1927.0
California,1847.06
Texas,1636.59
Georgia,1207.77
Maryland,1201.68
Ohio,1153.93
Pennsylvania,1143.23
New_Jersey,1105.0
Massachusetts,1104.22
Michigan,1071.64
Illinois,735.51
Oregon,730.14
North_Carolina,710.2
Virginia,649.7
West_Virginia,495.14
South_Carolina,488.09
Tennessee,447.19
Rhode_Island,397.32
Connecticut,372.3
Missouri,346.72
Indiana,312.22
Kentucky,283.61
Wisconsin,235.28
Arizona,230.36
Washington,215.78
Delaware,215.56
Louisiana,184.32
Colorado,166.46
Minnesota,153.19
South_Dakota,129.75
New_Hampshire,105.61
Arkansas,98.41
Iowa,92.86
Kansas,74.91
Oklahoma,67.55
Maine,63.2
Idaho,60.0
Nebraska,46.57
District_of_Columbia,44.5
New_Mexico,43.11
Vermont,29.1
Montana,12.2
North_Dakota,9.34
Wyoming,6.62
