travel_agencies,Number_of_employees
Expedia_Inc.,20000
Flight_Centre_Travel_Group_USA,19267
The_Priceline_Group,18000
Carlson_Wagonlit_Travel,17100
BCD_Travel,13000
HRG_North_America,12000
American_Express_Global_Business_Travel,12000
Travel_Leaders_Group,8360
AAA_Travel,4209
JTB_Americas_Group,2242
Corporate_Travel_Management,2200
International_Cruise_&_Excursions_(ICE),2134
Altour,1596
Travel_and_Transport,1328
World_Travel_Holdings,1217
Direct_Travel,1200
Frosch,1050
Ovation_Travel_Group,550
Omega_World_Travel,530
World_Travel,505
