Month,Number_of_cases
Dec_14,350938
Dec_13,348744
Dec_12,344700
Dec_11,340287
Dec_10,335207
Dec_9,332073
Dec_8,327976
Dec_7,325071
Dec_6,322474
Dec_5,318640
Dec_4,312553
Dec_3,307618
Dec_2,303846
Dec_1,300462
Nov_30,298061
Nov_29,294799
Nov_28,290706
Nov_27,285838
Nov_26,280394
Nov_25,274011
Nov_24,268721
Nov_23,264802
Nov_22,260758
Nov_21,255970
Nov_20,249498
Nov_19,243009
Nov_18,236015
Nov_17,230124
Nov_16,225672
Nov_15,217301
Nov_14,211266
Nov_13,204664
Nov_12,198011
Nov_11,192172
Nov_10,187237
Nov_9,183420
Nov_8,179324
Nov_7,173540
Nov_6,166900
Nov_5,161350
Nov_4,156940
Nov_3,149443
Nov_2,146847
Nov_1,144341
Oct_31,141279
Oct_30,137272
Oct_29,132616
Oct_28,128392
Oct_27,124432
Oct_26,121133
Oct_25,118686
Oct_24,116109
Oct_23,112440
Oct_22,109541
Oct_21,106271
Oct_20,103736
Oct_19,101860
Oct_18,99911
Oct_17,98055
Oct_16,95902
Oct_15,93294
Oct_14,91193
Oct_13,89121
Oct_12,87913
Oct_11,86664
Oct_10,85574
Oct_9,83928
Oct_8,82534
Oct_7,81256
Oct_6,80312
Oct_5,79885
Oct_4,79151
Oct_3,78247
Oct_2,77284
Oct_1,76396
Sep_30,75542
Sep_29,74717
Sep_28,74029
Sep_27,73604
Sep_26,72939
Sep_25,72055
Sep_24,71156
Sep_23,70465
Sep_22,69663
Sep_21,69206
Sep_20,68577
Sep_19,68025
Sep_18,67176
Sep_17,66396
Sep_16,65626
Sep_15,65021
Sep_14,64596
Sep_13,63983
Sep_12,63310
Sep_11,62813
Sep_10,62126
Sep_9,61541
Sep_8,60895
Sep_7,60507
Sep_6,60258
Sep_5,59943
Sep_4,59457
Sep_3,59051
Sep_2,58633
Sep_1,58243
Aug_31,58012
Aug_30,57768
Aug_29,57448
Aug_28,57074
Aug_27,56671
Aug_26,56274
Aug_25,55912
Aug_24,55720
Aug_23,55597
Aug_22,55452
Aug_21,55211
Aug_20,54992
Aug_19,54701
Aug_18,54448
Aug_17,54234
Aug_16,54102
Aug_15,53981
Aug_14,53783
Aug_13,53548
Aug_12,53223
Aug_11,52945
Aug_10,52825
Aug_9,52668
Aug_8,52537
Aug_7,52351
Aug_6,52061
Aug_5,51848
Aug_4,51681
Aug_3,51569
Aug_2,51463
Aug_1,51310
Jul_31,51072
Jul_30,50868
Jul_29,50613
Jul_28,50410
Jul_27,50299
Jul_26,50164
Jul_25,49955
Jul_24,49692
Jul_23,49379
Jul_22,49150
Jul_21,48898
Jul_20,48771
Jul_19,48636
Jul_18,48390
Jul_17,48077
Jul_16,47765
Jul_15,47426
Jul_14,47051
Jul_13,46818
Jul_12,46512
Jul_11,46221
Jul_10,45679
Jul_9,45277
Jul_8,44859
Jul_7,44416
Jul_6,44129
Jul_5,43897
Jul_4,43569
Jul_3,43156
Jul_2,42782
Jul_1,42454
Jun_30,42141
Jun_29,41912
Jun_28,41646
Jun_27,41189
Jun_26,40866
Jun_25,40415
Jun_24,40104
Jun_23,39737
Jun_22,39392
Jun_21,39133
Jun_20,38841
Jun_19,38464
Jun_18,38089
Jun_17,37672
Jun_16,37336
Jun_15,37036
Jun_14,36690
Jun_13,36463
Jun_12,36180
Jun_11,35910
Jun_10,35600
Jun_9,35306
Jun_8,34885
Jun_7,34693
Jun_6,34351
Jun_5,33969
Jun_4,33592
Jun_3,33261
Jun_2,32895
Jun_1,32700
May_31,32500
May_30,32203
May_29,31946
May_28,31596
May_27,31292
May_26,31007
May_25,30788
May_24,30623
May_23,30471
May_22,30200
May_21,29912
May_20,29660
May_19,29432
May_18,29209
May_17,29036
May_16,28810
May_15,28583
May_14,28319
May_13,28132
May_12,27913
May_11,27689
May_10,27581
May_9,27406
May_8,27268
May_7,26715
May_6,26182
May_5,25702
May_4,25524
May_3,25282
May_2,25190
May_1,24987
Apr_30,24692
Apr_29,24324
Apr_28,24141
Apr_27,23846
Apr_26,23683
Apr_25,23271
Apr_24,22797
Apr_23,22353
Apr_22,21982
Apr_21,21379
Apr_20,20863
Apr_19,20206
Apr_18,19685
Apr_17,19022
Apr_16,18841
Apr_15,18091
Apr_14,17448
Apr_13,16934
Apr_12,16585
Apr_11,15987
Apr_10,15472
Apr_9,13956
Apr_8,13141
Apr_7,12442
Apr_6,11730
Apr_5,11278
Apr_4,10524
Apr_3,9886
Apr_2,9034
Apr_1,8251
Mar_31,7443
Mar_30,6408
Mar_29,5962
Mar_28,5170
Mar_27,4268
Mar_26,3544
Mar_25,2995
Mar_24,2362
Mar_23,2060
Mar_22,1600
Mar_21,1280
Mar_20,1020
Mar_19,785
Mar_18,642
Mar_17,448
Mar_16,331
Mar_15,245
Mar_14,169
Mar_13,112
Mar_12,78
Mar_11,59
Mar_10,41
Mar_9,39
Mar_8,30
Mar_7,21
Mar_6,13
Mar_5,9
Mar_4,6
Mar_3,4
Mar_2,2
