12_week_period_ending,Percentage_growth_(year-on-year)
6_Oct_19,0.5
8_Sep_19,-2
11_Aug_19,-0.4
14_Jul_19,-1.5
16_Jun_19,0.6
21_Apr_19,1.4
24_Mar_19,0.6
24_Feb_19,1.7
28_Jan_19,2.3
8_Oct_18,4.8
10_Sep_18,6
13_Aug_18,3.8
15_Jul_18,4.5
17_Jun_18,2.5
25_Mar_18,0.2
25_Feb_18,-0.8
28_Jan_18,1.3
31_Dec_17,1.6
3_Dec_17,1.3
5_Nov_17,1.1
8_Oct_17,2.6
10_Sep_17,4
16_Jul_17,5.7
18_Jun_17,7.4
21_May_17,8.6
23_Apr_17,9.3
26_Mar_17,9.8
26_Feb_17,8.8
29_Jan_17,8.6
1_Jan_17,9.6
4_Dec_16,8.6
6_Nov_16,8.3
9_Oct_16,6.9
11_Sep_16,6.3
14_Aug_16,4.3
17_Jul_16,2.8
19_Jun_16,3.5
22_May_16,0.6
24_Apr_16,-2.2
27_Mar_16,-3.2
31_Jan_16,-2
3_Jan_16,-4.1
6_Dec_15,-1.5
8_Nov_15,-0.6
11_Oct_15,3.2
13_Sep_15,3.4
16_Aug_15,3.4
19_Jul_15,3
