State,Registrations_in_thousands
California,291
Texas,260
Indiana,257
Illinois,157
Ohio,105
Florida,92
Pennsylvania,86
Iowa,76
North_Carolina,72
Georgia,68
Minnesota,68
Missouri,67
Michigan,65
Oklahoma,63
Wisconsin,63
Nebraska,54
Arizona,44
Kansas,43
Alabama,42
Washington,42
Arkansas,40
New_Jersey,37
New_York,36
North_Dakota,35
Tennessee,33
Colorado,32
Virginia,32
Louisiana,29
Kentucky,29
South_Dakota,28
Montana,25
Oregon,25
Mississippi,24
Idaho,22
South_Carolina,21
Utah,15
New_Mexico,15
Massachusetts,14
Wyoming,13
Maryland,10
Nevada,9
West_Virginia,9
Maine,7
Alaska,6
Connecticut,6
Delaware,4
New_Hampshire,4
Vermont,3
Hawaii,3
Rhode_Island,2
District_of_Columbia,0
