business,Volume_of_trade_goods_in_billion_U.S._dollars
Transportation_Equipment,415.63
Computers_&_Electronic_Products,390.97
Chemicals,262.78
Machinery_Except_Electrical,188.72
Miscellaneous_Manufactured_Commodities,130.02
Oil_&_Gas,123.96
Electrical_Equipment_Appliances_&_Components,123.03
Goods_Returned_Or_Reimported,92.37
Apparel_&_Accessories,89.67
Primary_Metal_Products,86.09
Fabricated_Metal_Products,76.15
Petroleum_&_Coal_Products,73.44
Food_&_Kindred_Products,68.56
Plastic_&_Rubber_Products,59.32
Furniture_&_Fixtures,42.54
Leather_&_Allied_Products,39.47
Agricultural_Products,38.54
Beverages_&_Tobacco,26.44
Nonmetallic_Mineral_Products,24.09
Textile_Mill_Products,23.51
Special_Classification_Provision_Nspf,22.94
Paper_Products,21.24
Wood_Products,18.37
Fish_Fresh_Or_Chilled;_&_Other_Marine_Products,16.05
Used_Or_Second-H&_Merch&ise,13.1
Textile_&_Fabrics,8.21
Livestock_&_Livestock_Products,6.61
Scrap_&_Waste,6.55
Minerals_&_Ores,6.1
Printing_Publishing_&_Similar_Products,5.9
Forestry_Products_Nspf,2.62
