Company_(Country_of_origin),Percentage_of_total_retail_revenue
Shop_Direct_Group_(United_Kingdom),100
Amazon.com_(United_States),100
Vipshop_Holdings_(China),100
JD.com_Inc._(China),100
Zalando_SE_(Germany),100
Otto_GmbH_&_Co_KG_(Germany),68
Liberty_Interactive_Corporation_(United_States),51.5
Home_Retail_Group_PLC_(United_Kingdom),47.4
Apple_Inc._(United_States),46.5
Suning_Commerce_Group_Co._Ltd._(China),37.1
John_Lewis_Partnership_plc_(United_Kingdom),20.2
Nordstrom_Inc._(United_States),20.1
Macy's_Inc._(United_States),17.9
Kohl's_Corporation_(United_States),14.6
Best_Buy_Co._Inc._(United_Kingdom),10.1
Tesco_PLC_(UK),8.1
Casino_Guichard-Perrachon_S.A._(France),7.3
The_Home_Depot_Inc._(United_States),5.3
Costco_Wholesale_Operation_(United_States),3
Wal-Mart_Stores_(United_States),2.8
