transit_agency,Average_weekday_ridership
Los_Angeles_County_Metropolitan_Transportation__Authority,1439259
Long_Beach_Transit,89722
City_of_Los_Angeles_Department_of_Transportation__(“DASH”),78697
Santa_Monica_Big_Blue_Bus,61856
Metrolink,49745
Foothill_Transit,48412
Metro:_Small_Operators,41295
Montebello_Municipal_Bus_Lines,24858
Culver_CityBus,20822
Torrance_Transit,13659
Gardena_Municipal_Bus_Lines,12875
Antelope_Valley_Transit_Authority,11881
City_of_Santa_Clarita_Transit,11502
Norwalk_Transit_District,5573
