Soccer_player,Payroll_in_thousand_U.S._dollars
Ali_Adnan,1277.5
Fredy_Montero,968.0
Jon_Erice_Dominguez,752.36
Yordy_Reyna,713.14
Hwang_In-Beom,655.0
Erik_Godoy,449.32
Michaell__Chirinos,396.88
Anthony_Blondell,307.7
Joaquin_Ardaiz,272.73
Georges,204.24
Andy_Rose,192.5
Russell_Teibert,190.0
Zac_MacMath,190.0
Jasser_Khmiri,180.0
Scott_Sutter,170.18
Jake_Nerwinski,124.13
Derek_Cornelius,111.91
"Victor_""PC""_Giro",110.31
Alhassane_Bangoura,100.0
Maxime_Crepeau,94.08
Michael_Baldisimo,83.01
Simon_Colyn,81.25
Thelonius_Bair,76.25
Brett_Levis,74.16
Sean_Melvin,70.25
Tosaint__Ricketts,70.25
Thomas_Hasal,66.25
David_Norman,58.23
Brendan_McDonough,56.25
Georges_Mukumbilwa,56.25
