Response,Share_of_respondents
Hotel_guests_that_are_loud_neighbors,65
People_who_are_rude_to_other_travelers_and_hotel_guests,64
Guests_that_are_rude_to_hotel_staff,56
"Those_that_line_jump_for_a_taxi_or_""steal""_a_taxi_from_another_guest",51
Hotel_guests_that_make_a_mess_in_common_areas,45
"Travelers_that_complain_about_being_disturbed_by_housekeeping_when_they_do_not_put_up_the_""Do_Not_Disturb""_sign",34
Travelers_that_take_things_they_are_not_supposed_to_take_from_their_rooms,33
Guests_that_do_not_tip_the_bellmen_porters_or_housekeeping,24
Travelers_that_have_more_people_stay_in_their_hotel_room_than_allowed,22
People_that_leave_their_luggage_in_the_hall,19
