Year,Food_and_drink,Alcohol_and_tobacco,Clothing_and_footwear,Housing,Household_goods_and_services,Health,Transport,Communication,Recreation_and_culture,Education,Restaurants_and_hotels,Miscellaneous
2019,8,3,5,26,5,2,14,2,11,2,9,13
2018,8,3,5,26,5,2,14,2,11,2,9,13
2017,8,3,5,26,5,2,13,2,11,2,10,13
2016,8,3,5,27,4,2,13,2,11,2,10,13
2015,8,3,5,27,4,2,13,2,11,2,10,13
2014,8,4,5,27,4,2,14,2,10,2,10,13
2013,8,4,5,27,4,2,14,2,10,2,10,12
2012,8,4,5,27,4,2,14,2,10,2,10,12
2011,9,4,5,27,4,2,14,2,11,2,9,12
2010,8,4,5,27,4,2,14,2,11,2,9,12
2005,8,4,5,25,5,1,14,2,11,1,10,14
2000,8,5,5,25,5,1,14,2,11,1,10,13
