university,Academic_reputation_index_score
Universidade_de_São_Paulo_(USP)_(Brazil),82.4
Universidad_Nacional_Autónoma_de_México_(UNAM)_(Mexico),80.7
Pontificia_Universidad_Católica_de_Chile_(UC)_(Chile),77.8
Universidad_de_Buenos_Aires_(UBA)_(Argentina),76.6
Universidade_Estadual_de_Campinas_(Unicamp)_(Brazil),76.2
Universidad_de_Chile_(Chile),75.1
Universidad_Nacional_de_Colombia_(Colombia),74.8
Universidade_Federal_do_Rio_de_Janeiro_(UFRJ)_(Brazil),71.2
UNESP_(Brazil),71.0
Pontificia_Universidad_Javeriana_(Colombia),69.5
