Quarter,Revenue_in_million_U.S._dollars
Q3_'20,46017
Q2_'20,37998
Q1_'20,40975
Q4_'19,45812
Q3_'19,40225
Q2_'19,38674
Q1_'19,36032
Q4_'18,38998
Q3_'18,33594
Q2_'18,32512
Q1_'18,30996
Q4_'17,32192
Q3_'17,27470
Q2_'17,25913
Q1_'17,24618
Q4_'16,25802
Q3_'16,22254
Q2_'16,21315
Q1_'16,20092
Q4_'15,21179
Q3_'15,18534
Q2_'15,17653
Q1_'15,17178
Q4_'14,17997
Q3_'14,16523
Q2_'14,15955
Q1_'14,15420
Q4_'13,15707
Q3_'13,13754
Q2_'13,13107
Q1_'13,12951
Q4_'12,12905
Q3_'12,11526
Q2_'12,10964
Q1_'12,10645
Q4_'11,10584
Q3_'11,9720
Q2_'11,9026
Q1_'11,8575
Q4_'10,8440
Q3_'10,7286
Q2_'10,6820
Q1_'10,6775
Q4_'09,6674
Q3_'09,5945
Q2_'09,5523
Q1_'09,5509
Q4_'08,5701
Q3_'08,5541
Q2_'08,5637
Q1_'08,5186
