Month,Market_share
Dec_'20,30.12
Nov_'20,29.94
Oct_'20,29.76
Sep_'20,29.7
Aug_'20,29.44
Jul_'20,28.9
Jun_'20,27.6
May_'20,27.76
Apr_'20,27.54
Mar_'20,26.29
Feb_'20,24.72
Jan_'20,24.75
Dec_'19,24.84
Nov_'19,25.09
Oct_'19,24.31
Sep_'19,24.62
Aug_'19,24.6
Jul_'19,24.45
Jun_'19,23.98
May_'19,23.26
Apr_'19,24.28
Mar_'19,25.12
Feb_'19,18.12
Jan_'19,18.76
Dec_'18,18.56
Nov_'18,17.83
Oct_'18,24.16
Sep_'18,25.69
Aug_'18,24.72
Jul_'18,26.61
Jun_'18,27.28
May_'18,26.1
Apr_'18,26.34
Mar_'18,26
Feb_'18,26.25
Jan_'18,26.48
Dec_'17,26.8
