national_park,Area_in_hectares
Cilento_e_Vallo_di_Diano,178172
Pollino,171132
Gran_Sasso_e_Monti_della_Laga,141341
Stelvio,130734
Gargano,118144
Gennargentu_e_Golfo_di_Orosei,73935
Arcipelago_Toscano,73762
Sila,73695
Gran_Paradiso,71043
Monti_Sibillini,69722
Appennino_Lucano,68996
Alta_Murgia,68033
Aspromonte,64153
Majella,62838
Abruzzo_Lazio_e_Molise,49680
Foreste_Casentinesi_Monte_Falterona_Campigna,31038
Appennino_Tosco-Emiliano,26148
Arcipelago_de_La_Maddalena,20146
Dolomiti_Bellunesi,15030
Val_Grande,11340
Vesuvio,7259
Circeo,5616
Asinara,5170
Cinque_terre,3860
