Month,Number_of_cases
Apri_2,165
Apr_1,157
Mar_31,110
Mar_30,154
Mar_29,94
Mar_28,99
Mar_27,92
Mar_26,112
Mar_25,133
Mar_24,205
Mar_23,51
Mar_22,119
Mar_21,48
Mar_20,70
Mar_19,103
Mar_18,0
Mar_17,53
Mar_16,15
Mar_15,0
Mar_14,1
Mar_13,17
Mar_12,41
Mar_11,24
Mar_10,0
Mar_9,4
Mar_8,6
Mar_7,0
Mar_6,0
Mar_5,0
Mar_4,4
Mar_3,0
Mar_2,0
Mar_1,0
Feb_29,0
Feb_28,0
Feb_27,0
Feb_26,0
Feb_25,0
Feb_24,0
Feb_23,0
Feb_22,0
Feb_21,0
Feb_20,0
Feb_19,0
Feb_18,0
Feb_17,0
Feb_16,0
Feb_15,0
Feb_14,0
Feb_13,0
Feb_12,0
Feb_11,0
Feb_10,0
Feb_9,0
Feb_8,0
Feb_7,0
Feb_6,0
Feb_5,0
Feb_4,0
Feb_3,0
Feb_2,0
Feb_1,0
Jan_31,0
Jan_30,0
Jan_29,0
Jan_28,0
Jan_27,0
Jan_26,0
Jan_25,0
Jan_24,0
Jan_23,0
Jan_22,0
