Response,Share_of_respondents
Never_need_to_log_onto_public_Wi-Fi_again,48
Lightning-fast_browsing,48
Download_content_10x_faster,37
Better_quality_of_video_calls,27
Stream_UHD_&_360°_videos,21
Instant_cloud_access,21
Rich_mobile_information,19
Share/transfer_files_instantly,19
Remote_office_with_wire-like_connectivity,19
Instant_apps_no_download/install,18
Social_media_live_sharing_in_UHD,16
Seamless_screen_mirroring,14
Next-gen_VR_experience,14
Interactive/graphics-intensive_gaming,14
Mobile_AR_services,12
