State,Percentage_of_homicides
Missouri,85.87
South_Carolina,85.62
Illinois,83.92
Maryland,83.48
Delaware,83.33
Louisiana,82.95
Georgia,82.47
District_of_Columbia,81.93
Mississippi,80.95
Kentucky,78.73
Tennessee,78.51
Nebraska,77.78
Pennsylvania,77.16
Texas,77.16
Arkansas,76.62
Virginia,75.64
Alabama,75
Indiana,74.9
North_Carolina,74.22
Ohio,73.32
Vermont,72.73
Oklahoma,71.59
Washington,69.59
Minnesota,69.3
Wyoming,69.23
Michigan,68.78
California,68.02
New_Jersey,67.18
Wisconsin,66.85
West_Virginia,66.67
New_Mexico,65.75
Maine,65
Colorado,64.59
Nevada,63.95
Alaska,63.77
Arizona,63.2
Connecticut,62.5
Oregon,62.24
Utah,62.12
Iowa,62.07
Kansas,60.22
Montana,59.26
Massachusetts,58.9
New_York,54.18
North_Dakota,50
New_Hampshire,48.48
Idaho,45.71
Rhode_Island,40
South_Dakota,36.84
Hawaii,28.13
