Response,18-29,30-59,60+
Buy_a_product_online,49,49,41
Buy_or_make_a_reservation_for_travel,13,22,15
Check_weather_reports_and_forecasts_online,50,57,61
Do_any_banking_online,49,55,55
Get_news_online,57,64,58
Look_for_news_and_information_about_politics,29,39,40
Participate_in_an_online_auction,12,11,8
Send_instant_messages,49,43,24
Send_or_read_e-mail,77,86,91
Use_a_search_engine_to_find_information,67,72,70
Use_a_social_networking_site,74,67,49
Use_classified_ads_sites_like_Craigslist,16,17,12
Watch_a_video_on_a_video-sharing_site,55,40,20
None_of_the_above,1,1,2
I_don’t_use_the_Internet,0,1,0
