Company_(country),Refining_capacity_in_thousand_barrels_per_day
ExxonMobil_(U.S.),5589
Royal_Dutch_Shell_(Netherlands),4109
Sinopec_(China),3971
BP_PLC_(U.K.),2859
Saudi_Arabian_Oil_Company_(Saudi_Arabia),2852
Valero_Energy_Corporation_(U.S.),2777
Petróleos_de_Venezuela_S.A._(Venezuela),2678
China_National_Petroleum_Company_(China),2675
Chevron_Corp._(U.S.),2675
Phillips_66_(U.S.),2514
Total_S.A._(France),2304
Petróleo_Brasileiro_S.A._(Brazil),1997
Marathon_Oil_Corp._(U.S.),1714
Petróleos_Mexicanos_(Mexico),1703
National_Iranian_Oil_Company_(Iran),1451
JX_Nippon_Oil_&_Energy_Corp._(Japan),1423
Rosneft_(Russia),1293
OAO_Lukoil_(Russia),1217
SK_Innovation_(Korea),1115
Repsol_YPF_S.A._(Spain),1105
