Month,JKIA,MIA,Total
Aug_2020,13371,548,13919
Jul_2020,617,1,618
Jun_2020,534,2,536
May_2020,1229,0,1229
Apr_2020,12,0,12
Mar_2020,43346,3950,47296
Feb_2020,108578,11092,119670
Jan_2020,114873,12214,127087
Dec_2019,121912,12391,134303
Nov_2019,111548,12339,123887
Oct_2019,115828,10940,126768
Sep_2019,124001,9208,133209
Aug_2019,150723,11000,161723
Jul_2019,150286,8663,158949
Jun_2019,126822,2454,129276
May_2019,98788,3689,102477
Apr_2019,104418,5096,109514
Mar_2019,106001,9732,115733
Feb_2019,107058,12864,119922
Jan_2019,113362,15727,129089
