Month,Producer_Price_Index_(2010=100)
Oct_'20,56.8
Sept_'20,58.6
Aug_'20,64.5
July_'20,62.6
June_'20,57.8
May_'20,52.1
April_'20,44.7
Mar_'20,64.4
Feb_'20,94.6
Jan_'20,104.1
Dec_'19,111.7
Nov_'19,109.4
Oct_'19,100.5
Sept_'19,103.1
Aug_'19,97.3
July_'19,99.3
June_'19,100.5
May_'19,110.1
April_'19,107.2
Mar_'19,100.3
Feb_'19,99.8
Jan_'19,95.3
Dec_'18,93.6
Nov_'18,102.8
Oct_'18,122.9
Sept_'18,120.4
Aug_'18,109.2
July_'18,110.2
June_'18,107.4
May_'18,110.5
April_'18,105.7
Mar_'18,97.4
Feb_'18,97.5
Jan_'18,104.0
